source_file,scenario_id,task_text,model_name,prompt_filename,repeat_idx,image_path,input_mode,json_valid,schema_ok,taxonomy_ok,step_count,manipulation_consistency,action_feasibility,inference_time_sec,is_error_file
outputs/outputs_official/stacked_boxes/gpt-5.2/stacked_boxes__gpt-5.2__new_file__stacked_boxes__r1.json,stacked_boxes,Pick up the dark box.,gpt-5.2,new_file.txt,1,images/stacked_boxes.jpeg,image,1,1,1,2.0,1.0,1.0,17.201219085000048,False
outputs/outputs_official/stacked_boxes/gpt-5.2/stacked_boxes__gpt-5.2__new_file__stacked_boxes__r2.json,stacked_boxes,Pick up the dark box.,gpt-5.2,new_file.txt,2,images/stacked_boxes.jpeg,image,1,1,1,2.0,1.0,1.0,15.817734729000222,False
outputs/outputs_official/stacked_boxes/gpt-5.2/stacked_boxes__gpt-5.2__new_file__stacked_boxes__r3.json,stacked_boxes,Pick up the dark box.,gpt-5.2,new_file.txt,3,images/stacked_boxes.jpeg,image,1,1,1,2.0,1.0,1.0,19.10073384000134,False
outputs/outputs_official/stacked_boxes/gpt-5.2/stacked_boxes__gpt-5.2__new_file__stacked_boxes__r4.json,stacked_boxes,Pick up the dark box.,gpt-5.2,new_file.txt,4,images/stacked_boxes.jpeg,image,1,1,1,1.0,1.0,1.0,10.812653226999828,False
outputs/outputs_official/stacked_boxes/gpt-5.2/stacked_boxes__gpt-5.2__new_file__stacked_boxes__r5.json,stacked_boxes,Pick up the dark box.,gpt-5.2,new_file.txt,5,images/stacked_boxes.jpeg,image,1,1,1,2.0,1.0,1.0,13.369322272999852,False
outputs/outputs_official/stacked_boxes/o3/stacked_boxes__o3__new_file__stacked_boxes__r1.json,stacked_boxes,Pick up the dark box.,o3,new_file.txt,1,images/stacked_boxes.jpeg,image,1,1,1,2.0,1.0,1.0,14.807097629000054,False
outputs/outputs_official/stacked_boxes/o3/stacked_boxes__o3__new_file__stacked_boxes__r2.json,stacked_boxes,Pick up the dark box.,o3,new_file.txt,2,images/stacked_boxes.jpeg,image,1,1,1,3.0,1.0,1.0,16.987914498000464,False
outputs/outputs_official/stacked_boxes/o3/stacked_boxes__o3__new_file__stacked_boxes__r3.json,stacked_boxes,Pick up the dark box.,o3,new_file.txt,3,images/stacked_boxes.jpeg,image,1,1,1,3.0,1.0,1.0,12.101334155000586,False
outputs/outputs_official/stacked_boxes/o3/stacked_boxes__o3__new_file__stacked_boxes__r4.json,stacked_boxes,Pick up the dark box.,o3,new_file.txt,4,images/stacked_boxes.jpeg,image,1,1,1,3.0,1.0,1.0,14.64545051099958,False
outputs/outputs_official/stacked_boxes/o3/stacked_boxes__o3__new_file__stacked_boxes__r5.json,stacked_boxes,Pick up the dark box.,o3,new_file.txt,5,images/stacked_boxes.jpeg,image,1,1,1,3.0,1.0,1.0,23.965531464000378,False
