file_path,scenario_id,prompt_name,run_id,model_name,repeat_idx,image_path,task_text,inference_time_sec,json_parse_ok,error,plan_correctness,notes
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r1.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,1,,Pick up the darker box.,6.644236154999817,True,,0.0,
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r2.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,2,,Pick up the darker box.,8.82658882999931,True,,0.0,
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r3.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,3,,Pick up the darker box.,8.301379828999416,True,,1.0,
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r4.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,4,,Pick up the darker box.,5.046332210000401,True,,0.0,
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r5.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,5,,Pick up the darker box.,6.072561066999697,True,,0.0,
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r6.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,6,,Pick up the darker box.,4.967479089000335,True,,0.0,
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r7.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,7,,Pick up the darker box.,4.667507824000495,True,,0.0,
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r8.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,8,,Pick up the darker box.,6.441519977999633,True,,0.0,
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r9.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,9,,Pick up the darker box.,4.39370134300043,True,,0.0,
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r10.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,10,,Pick up the darker box.,7.543390028999056,True,,0.0,
bc_only_graph/graph_sides/2026-03-16_12-56-44/o3/bc_only_graph__o3__graph_sides__no_image__r1.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,o3,1,,Pick up the darker box.,27.91836510400026,True,,1.0,
bc_only_graph/graph_sides/2026-03-16_12-56-44/o3/bc_only_graph__o3__graph_sides__no_image__r2.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,o3,2,,Pick up the darker box.,26.685664997999996,True,,1.0,
bc_only_graph/graph_sides/2026-03-16_12-56-44/o3/bc_only_graph__o3__graph_sides__no_image__r3.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,o3,3,,Pick up the darker box.,37.22248587899958,True,,1.0,
bc_only_graph/graph_sides/2026-03-16_12-56-44/o3/bc_only_graph__o3__graph_sides__no_image__r4.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,o3,4,,Pick up the darker box.,41.1931178800005,True,,1.0,
bc_only_graph/graph_sides/2026-03-16_12-56-44/o3/bc_only_graph__o3__graph_sides__no_image__r5.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,o3,5,,Pick up the darker box.,15.979242994000742,True,,0.0,
