file_path,scenario_id,prompt_name,run_id,model_name,repeat_idx,image_path,task_text,inference_time_sec,json_parse_ok,error
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r9.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,9,images/2boxesaside.png,Pick up the darker box.,15.732360708998385,True,
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r8.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,8,images/2boxesaside.png,Pick up the darker box.,11.689524680999966,True,
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r7.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,7,images/2boxesaside.png,Pick up the darker box.,11.942937145000542,True,
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r3.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,3,images/2boxesaside.png,Pick up the darker box.,11.532500960998732,True,
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r10.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,10,images/2boxesaside.png,Pick up the darker box.,15.450479645998712,True,
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r5.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,5,images/2boxesaside.png,Pick up the darker box.,13.983719507999922,True,
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r1.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,1,images/2boxesaside.png,Pick up the darker box.,17.536755369001185,True,
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r6.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,6,images/2boxesaside.png,Pick up the darker box.,12.143669759001568,True,
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r2.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,2,images/2boxesaside.png,Pick up the darker box.,18.17429298800016,True,
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r4.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,4,images/2boxesaside.png,Pick up the darker box.,11.57886463000068,True,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r4.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,4,images/2boxesaside.png,Pick up the darker box.,17.95117286599998,True,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r8.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,8,images/2boxesaside.png,Pick up the darker box.,23.47566570300023,True,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r5.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,5,images/2boxesaside.png,Pick up the darker box.,12.47856695000064,True,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r10.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,10,images/2boxesaside.png,Pick up the darker box.,23.731466958000055,True,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r7.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,7,images/2boxesaside.png,Pick up the darker box.,12.250780848000431,True,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r9.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,9,images/2boxesaside.png,Pick up the darker box.,36.76832717899924,True,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r1.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,1,images/2boxesaside.png,Pick up the darker box.,16.718619516000217,True,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r6.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,6,images/2boxesaside.png,Pick up the darker box.,11.213213400999848,True,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r2.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,2,images/2boxesaside.png,Pick up the darker box.,15.276866026999414,True,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r3.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,3,images/2boxesaside.png,Pick up the darker box.,14.170545083000434,True,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r7.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,7,images/2boxesaside.png,Pick up the darker box.,14.671418654001172,True,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r1.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,1,images/2boxesaside.png,Pick up the darker box.,15.371806121998816,True,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r10.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,10,images/2boxesaside.png,Pick up the darker box.,18.82415888899959,True,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r9.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,9,images/2boxesaside.png,Pick up the darker box.,16.820067772001494,True,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r2.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,2,images/2boxesaside.png,Pick up the darker box.,16.71289851599977,True,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r6.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,6,images/2boxesaside.png,Pick up the darker box.,14.585971837001125,True,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r8.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,8,images/2boxesaside.png,Pick up the darker box.,15.889879726999425,True,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r4.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,4,images/2boxesaside.png,Pick up the darker box.,16.185364371000105,True,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r5.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,5,images/2boxesaside.png,Pick up the darker box.,14.530509939000694,True,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r3.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,3,images/2boxesaside.png,Pick up the darker box.,18.13711998999861,True,
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r2.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,2,images/2boxesaside.png,Pick up the darker box.,20.15721759799999,True,
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r5.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,5,images/2boxesaside.png,Pick up the darker box.,43.470433053000306,True,
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r8.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,8,images/2boxesaside.png,Pick up the darker box.,17.419172953999805,True,
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r9.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,9,images/2boxesaside.png,Pick up the darker box.,32.72776870500002,True,
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r3.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,3,images/2boxesaside.png,Pick up the darker box.,26.896900462000303,True,
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r10.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,10,images/2boxesaside.png,Pick up the darker box.,68.18157340000016,True,
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r1.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,1,images/2boxesaside.png,Pick up the darker box.,41.207472613999926,True,
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r6.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,6,images/2boxesaside.png,Pick up the darker box.,23.664402004000294,True,
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r4.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,4,images/2boxesaside.png,Pick up the darker box.,44.30185233300017,True,
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r7.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,7,images/2boxesaside.png,Pick up the darker box.,26.83696060800048,True,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/gpt-5.2/bc_only_graph__gpt-5.2__graph_spatial__no_image__r7.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,gpt-5.2,7,,Pick up the darker box.,6.352592014000038,True,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/gpt-5.2/bc_only_graph__gpt-5.2__graph_spatial__no_image__r5.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,gpt-5.2,5,,Pick up the darker box.,9.23126577900075,True,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/gpt-5.2/bc_only_graph__gpt-5.2__graph_spatial__no_image__r8.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,gpt-5.2,8,,Pick up the darker box.,6.386466510999526,True,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/gpt-5.2/bc_only_graph__gpt-5.2__graph_spatial__no_image__r3.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,gpt-5.2,3,,Pick up the darker box.,5.143854122999983,True,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/gpt-5.2/bc_only_graph__gpt-5.2__graph_spatial__no_image__r10.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,gpt-5.2,10,,Pick up the darker box.,6.791063546999794,True,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/gpt-5.2/bc_only_graph__gpt-5.2__graph_spatial__no_image__r9.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,gpt-5.2,9,,Pick up the darker box.,12.203399374999208,True,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/gpt-5.2/bc_only_graph__gpt-5.2__graph_spatial__no_image__r4.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,gpt-5.2,4,,Pick up the darker box.,8.403642052000578,True,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/gpt-5.2/bc_only_graph__gpt-5.2__graph_spatial__no_image__r6.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,gpt-5.2,6,,Pick up the darker box.,8.258925565998652,True,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/gpt-5.2/bc_only_graph__gpt-5.2__graph_spatial__no_image__r1.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,gpt-5.2,1,,Pick up the darker box.,4.795127821000278,True,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/gpt-5.2/bc_only_graph__gpt-5.2__graph_spatial__no_image__r2.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,gpt-5.2,2,,Pick up the darker box.,9.474618160000318,True,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r6.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,6,,Pick up the darker box.,21.94073931999992,True,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r2.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,2,,Pick up the darker box.,14.79154301699964,False,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r5.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,5,,Pick up the darker box.,21.348004554,True,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r9.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,9,,Pick up the darker box.,20.4499582619992,True,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r8.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,8,,Pick up the darker box.,22.642662255000687,True,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r10.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,10,,Pick up the darker box.,16.100339384000108,False,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r1.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,1,,Pick up the darker box.,29.13825399199959,True,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r4.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,4,,Pick up the darker box.,25.95743965099973,True,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r3.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,3,,Pick up the darker box.,18.69461549299922,True,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r7.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,7,,Pick up the darker box.,11.684152027000891,True,
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r6.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,6,,Pick up the darker box.,4.967479089000335,True,
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r1.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,1,,Pick up the darker box.,6.644236154999817,True,
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r4.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,4,,Pick up the darker box.,5.046332210000401,True,
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r3.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,3,,Pick up the darker box.,8.301379828999416,True,
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r5.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,5,,Pick up the darker box.,6.072561066999697,True,
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r2.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,2,,Pick up the darker box.,8.82658882999931,True,
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r9.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,9,,Pick up the darker box.,4.39370134300043,True,
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r7.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,7,,Pick up the darker box.,4.667507824000495,True,
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r10.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,10,,Pick up the darker box.,7.543390028999056,True,
bc_only_graph/graph_sides/2026-03-16_12-56-44/gpt-5.2/bc_only_graph__gpt-5.2__graph_sides__no_image__r8.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,gpt-5.2,8,,Pick up the darker box.,6.441519977999633,True,
bc_only_graph/graph_sides/2026-03-16_12-56-44/o3/bc_only_graph__o3__graph_sides__no_image__r8.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,o3,8,,Pick up the darker box.,37.028365062999,True,
bc_only_graph/graph_sides/2026-03-16_12-56-44/o3/bc_only_graph__o3__graph_sides__no_image__r10.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,o3,10,,Pick up the darker box.,35.44679009399988,True,
bc_only_graph/graph_sides/2026-03-16_12-56-44/o3/bc_only_graph__o3__graph_sides__no_image__r2.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,o3,2,,Pick up the darker box.,26.685664997999993,True,
bc_only_graph/graph_sides/2026-03-16_12-56-44/o3/bc_only_graph__o3__graph_sides__no_image__r7.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,o3,7,,Pick up the darker box.,18.6991124340002,True,
bc_only_graph/graph_sides/2026-03-16_12-56-44/o3/bc_only_graph__o3__graph_sides__no_image__r6.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,o3,6,,Pick up the darker box.,33.73388702000011,True,
bc_only_graph/graph_sides/2026-03-16_12-56-44/o3/bc_only_graph__o3__graph_sides__no_image__r9.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,o3,9,,Pick up the darker box.,33.26033274499969,True,
bc_only_graph/graph_sides/2026-03-16_12-56-44/o3/bc_only_graph__o3__graph_sides__no_image__r3.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,o3,3,,Pick up the darker box.,37.22248587899958,True,
bc_only_graph/graph_sides/2026-03-16_12-56-44/o3/bc_only_graph__o3__graph_sides__no_image__r1.json,bc_only_graph,graph_sides,2026-03-16_12-56-44,o3,1,,Pick up the darker box.,27.91836510400026,True,
